"Estado,Bacia,Nome Poço,Campo,Operador,Número do Contrato,Período,Óleo (bbl/dia),Condensado (bbl/dia),Petróleo (bbl/dia),Gás Natural (Mm³/dia),Volume Gás Royalties (Mm³/dia),Água (bbl/dia),Instalação Destino,Tipo Instalação,Tempo de Produção (hs por mês),Período da Carga,Corrente,Grau API,Fração de Destilados,% em Volumes,Densidade GLP Gás,Densidade GLP Líquido,""PCS GP"
"(kJ/m³)"",Data de atualização"
"Rio de Janeiro,Santos,1-BRSA-1116-RJS,ITAPU_ECO,Petrobras,48610012913201005,2023/01,""24.589,0097"",""0,0000"",""24.589,0097"",""288,0496"",""8.897,09100"",""15,4500"",PETROBRAS 71,UEP,0.0,2022/12,ITAPU,""29,3"",< 270ºC,""67,708"",""2,004"",""528,51919"",""42662,1051"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-105-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""1.581,4644"",""0,0000"",""1.581,4644"",""58,9039"",""914,01000"",""0,0000"",Petrobras 66 (P-66),UEP,677.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-97-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""558,4049"",""0,0000"",""558,4049"",""28,5560"",""443,10200"",""772,3868"",Petrobras 66 (P-66),UEP,685.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-100-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""1.045,6631"",""0,0000"",""1.045,6631"",""45,3490"",""703,67800"",""0,7383"",Petrobras 66 (P-66),UEP,685.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-115-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""982,3675"",""0,0000"",""982,3675"",""36,2552"",""562,57000"",""1,0076"",Petrobras 67 (P-67),UEP,423.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-95D-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""1.284,4922"",""0,0000"",""1.284,4922"",""44,6277"",""692,48600"",""151,1951"",FPSO CIDADE DE ANGRA DOS REIS,UEP,677.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-102D-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""1.246,7925"",""0,0000"",""1.246,7925"",""112,9719"",""1.752,98000"",""22,8878"",Petrobras 66 (P-66),UEP,678.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-119D-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""1.702,2009"",""0,0000"",""1.702,2009"",""103,6002"",""1.607,56000"",""7,0109"",FPSO CIDADE DE PARATY,UEP,685.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,9-LL-19-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""558,7875"",""0,0000"",""558,7875"",""20,5960"",""319,58600"",""28,1623"",Petrobras 67 (P-67),UEP,426.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-SLL-3-RJS,SUL DE TUPI,Petrobras,48610012913201005,2023/01,""367,4349"",""0,0000"",""367,4349"",""40,5794"",""629,66800"",""0,0000"",Petrobras 69,UEP,652.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-SLL-5-RJS,SUL DE TUPI,Petrobras,48610012913201005,2023/01,""1.224,5045"",""0,0000"",""1.224,5045"",""57,2486"",""888,32400"",""0,0000"",Petrobras 69,UEP,663.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-SLL-8D-RJS,SUL DE TUPI,Petrobras,48610012913201005,2023/01,""1.034,4698"",""0,0000"",""1.034,4698"",""47,3457"",""734,66100"",""17,2006"",Petrobras 69,UEP,644.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,8-LL-81D-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""789,5751"",""0,0000"",""789,5751"",""36,6035"",""567,97400"",""328,5324"",FPSO CIDADE DE SAQUAREMA,UEP,674.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,8-LL-87D-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""1.348,3736"",""0,0000"",""1.348,3736"",""47,3688"",""735,01900"",""69,0741"",FPSO CIDADE DE MARICÁ,UEP,491.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,9-LL-7-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""1.244,2413"",""0,0000"",""1.244,2413"",""55,3739"",""859,23500"",""34,4661"",FPSO CIDADE DE SAQUAREMA,UEP,645.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,9-LL-12D-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""1.419,7619"",""0,0000"",""1.419,7619"",""62,9299"",""976,48000"",""18,6992"",FPSO CIDADE DE MARICÁ,UEP,511.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,3-BRSA-854-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""1.415,9310"",""0,0000"",""1.415,9310"",""51,1128"",""793,11500"",""0,0000"",Petrobras 69,UEP,650.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-91-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""1.494,9470"",""0,0000"",""1.494,9470"",""55,1103"",""855,14400"",""1,4937"",FPSO CIDADE DE SAQUAREMA,UEP,639.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-SLL-2-RJS,SUL DE TUPI,Petrobras,48610012913201005,2023/01,""1.783,1701"",""0,0000"",""1.783,1701"",""62,3352"",""967,25300"",""5,2173"",Petrobras 69,UEP,665.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,9-ATP-1-RJS,OESTE DE ATAPU,Petrobras,48610012913201005,2023/01,""731,0875"",""0,0000"",""731,0875"",""24,6516"",""87,79000"",""0,1992"",Petrobras 70,UEP,45.0,2022/05,ATAPU,""27,7"",< 270ºC,""54,984"",""2,0092"",""529,15034"",""28503,4101"",13/03/2023"
"Rio de Janeiro,Santos,7-ATP-6-RJS,OESTE DE ATAPU,Petrobras,48610012913201005,2023/01,""7.504,4100"",""0,0000"",""7.504,4100"",""253,9994"",""904,55300"",""9,5106"",Petrobras 70,UEP,287.0,2022/05,ATAPU,""27,7"",< 270ºC,""54,984"",""2,0092"",""529,15034"",""28503,4101"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-48D-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""1.310,2021"",""0,0000"",""1.310,2021"",""47,9950"",""744,73700"",""97,1003"",FPSO CIDADE DE MARICÁ,UEP,529.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,3-BRSA-496-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""375,9931"",""0,0000"",""375,9931"",""20,2361"",""314,00200"",""369,8609"",FPSO CIDADE DE ANGRA DOS REIS,UEP,682.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-60D-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""920,0014"",""0,0000"",""920,0014"",""63,2724"",""981,79500"",""340,7038"",Petrobras 66 (P-66),UEP,680.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-61-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""1.419,6734"",""0,0000"",""1.419,6734"",""49,0454"",""761,03500"",""11,4485"",FPSO CIDADE DE MARICÁ,UEP,535.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-66-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""1.316,1890"",""0,0000"",""1.316,1890"",""44,4326"",""689,45900"",""19,9379"",FPSO CIDADE DE MARICÁ,UEP,548.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-67D-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""154,4796"",""0,0000"",""154,4796"",""16,7054"",""259,21600"",""0,1589"",Petrobras 67 (P-67),UEP,188.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"São Paulo,Santos,7-LPA-5D-SPS,LAPA,TotalEnergies EP,486100038842000A,2023/01,""9.695,2978"",""0,0000"",""9.695,2978"",""263,5033"",""2.956,18900"",""492,5165"",FPSO CIDADE DE CARAGUATATUBA,UEP,542.0,2017/04,LAPA,23,< 290ºC,""47,358"",""2,02544"",""531,09003"",""23619,9281"",13/03/2023"
"São Paulo,Santos,7-LPA-6D-SPS,LAPA,TotalEnergies EP,486100038842000A,2023/01,""3.567,9191"",""0,0000"",""3.567,9191"",""134,7280"",""1.511,48600"",""121,8904"",FPSO CIDADE DE CARAGUATATUBA,UEP,231.0,2017/04,LAPA,23,< 290ºC,""47,358"",""2,02544"",""531,09003"",""23619,9281"",13/03/2023"
"São Paulo,Santos,3-BRSA-861-SPS,LAPA,TotalEnergies EP,486100038842000A,2023/01,""13.044,0941"",""0,0000"",""13.044,0941"",""466,7175"",""5.236,00900"",""278,0624"",FPSO CIDADE DE CARAGUATATUBA,UEP,728.0,2017/04,LAPA,23,< 290ºC,""47,358"",""2,02544"",""531,09003"",""23619,9281"",13/03/2023"
"São Paulo,Santos,8-LPA-2D-SPS,LAPA,TotalEnergies EP,486100038842000A,2023/01,""6.613,2625"",""0,0000"",""6.613,2625"",""281,3861"",""3.156,81400"",""286,8803"",FPSO CIDADE DE CARAGUATATUBA,UEP,323.0,2017/04,LAPA,23,< 290ºC,""47,358"",""2,02544"",""531,09003"",""23619,9281"",13/03/2023"
